id,n,e,p,duration
0,b303adb46e2bcbdcef8aa052cd9e284513c77e6d097a6bd27276de82d831f5bbd2263ae60eec9601615c686a2eaf2236ad7b905014e25c3490da52934b7f0fb8e66a375777e4f9815b8e90e3c4f12a6eb5c9c1c2509d1b009881bfd50b33e6393c68b5fc2f028dc566de22dbda72b50c58ed76e9800c7a0fe3fba41ae6eb0181,010001,c6c65b1a12870ed056b29ef93c623db1bd7c7ea437467d825344bc39d514fbac9d67adc4419bb2adc1ec78110338c68e6daba7f1f7cadfef38ea1172ef6556a3,2.785473448
1,c869cc482e42e489e6326885d04d90cc6b55133c8e2d975aff7601d0d4e0741ecdd86f9425a697c3048cbf5ea127ba1557eee26bb18db4bf968e1f05e61ed7c96ce4bab7da0dc8b34bfc0f5106c50b5b536a25a1924540f0203446f861440c8fd6a539a83efb2e6cdfa168653018ffed04e2a2f1c3edeff5e85febe3cc16c533,010001,ec11e935b48b37352959b4ec74d697e39c9e30124d1f37682c3e666e52e20d6cbdaf881f0e9d1c730026642c597492a260feb90994495fe3d0a5a94ff60c209d,2.677671212
2,d563bba448297e14a7d57b3ea22f5a49cb7aa5a92a53c5bc49c0c19e47f92738150866a649775653de1ecb7aa66f8aebe7248c97fe8ccef64b40a7e72b9d3971a7a0e125ce1bbc5db418e02a213a20484985ccbdfb2289a4bf92e29385a84edbc81c02a287779827d216c4b06b1eb94e2aa0038077cf52adb906a505516c37ad,010001,fb78ad9d42a6d97eb2c1951b266ebd0feb371948aaca155b6a632037ffd1613dd6f25fa9e60e6cb4f0693ced30cef0d6710087e18b6d444ff1945964f8b4e489,2.015746423
3,bc502dcc25400a1355e6c6c03cf66cb855ddeecb58a55b375879786781c62b0b8f378f22a86bbe6853889b1fc005343ecdc083fa04a61598db7c07fa10969c275192eb6ce99d0522719afa926396a2a711a86c919d79b2e0d4b4bbf3ed32e71cf3e0cbe8d09eb19a8edd3c003551d1bf2f06ef7cb6445663ffe0ef5e82fef2bf,010001,e31111d45be40dc5843c959583bb29d7552c1c98ca06a6094c99ae549b1e109adbb690b2026ba3a0b3ea9a498e583f2f6919e8306320ea0b278feff05564cec3,1.402088641
4,bb4e8015d9606b36ba22c204501d896280a5e248281fba4e81f41ddefca8614c7a016935894f6a8cabb6e990e09c472c14118e93182e00ada4cd8f4a09c16f6dfd35e8450b160467e65ef2d9b6505515e19c27197346ad27a4aa15d523604657d4dd1260eee32de4a652a75460131badb04182c26d2f1bb014ffc870f8e75e5f,010001,cad15b6337a4a0de342875a6db6373afda653094e97c4c7a68167d04b2fa5a63a183c5701296de85a984b21a124e960fa1146aaa4bae39c40f7c0d4fca1f73ab,2.947047128
5,f3ad80da2dfa6b84ee2e08c24df87249973474179d9696b278b82ae0b2d11de03cf2b338d164b0bbb38467d04626a77b1b162804bdce42d73c7b55cd540550fc241c03d61097ab5c67b6023c365e6b639d61430e8f4e7e15dfab2f83807d39fe2e41fd08ee68052765847df105fc6dd1bfb01c3f0ac900744d6cea41fa408c91,010001,f813287d64d5eaf6f6fe77a9473d92360fa139853004a49e8f08b0c1f180b9014ffd272cc3cdddee1c0dadd29575f70a3b8392d7a13e0ca8f7faa629786661e5,2.686100241
6,cb0fd27c765fada16908c08b841a580bb985f914e9fd3bad3eb12848925fa93612e4bd041af7433334849c29f02048727ca4629af071fa0260de782735becb58e795353a44a45544aa7b49da0946e9c214f14ec72df079ad44da5ab1891463c9289b16400aa4a7a0daff0466dc44e4d91b71ba3c81e522a8a021b34dc0f44c87,010001,f0a61121c4c5a76ec03f95658034c17a17e422a06034b0ffdaf7863ced41f13c4f7cd4ce283cb126acc932bc0e00da7eac85a609ef34f062355cfa23b307ceff,2.610626570
7,c1becadd39dae2509f7134b962a557534d982898a4b776f487e30571b8dfe687105a9f85385eb3f3b2e562bed6d2052e2cca0f0e758d860340fb87ae5b88a743e198b4c63474551d3312f31bc2aa32d17dfe6c73ca6f0617ee4b2a954326951c3e13f7e8f25b1aaa6b2a2125613f012ed54dea3e72cf4e7869ef2633e631b47f,010001,e18b1df504cac7bb7d145fd1fb399e543079236d813594976c1983347abf2e8a06824624787ae9cc2c5d2bae7cbf16d83e798cb77aefc7c4d380322d4f2ae49f,3.073141814
8,a6db97b9067bd7eb8b306d6b68e61e51271f154e47bc7290167d8441b0ac293d56e00ecd6ad6a77d1c7ea602c11665ed7d404007ab6cbd112eb4f05d46a4e261c8811869e889a32e2c79ae775b299099917dfc7857895869f6de8ee42cb1550e5b9a1d638c1bf624ef02488630f79d66dffe65a47ad74a527047e5e4a2d641b1,010001,cffeda357c051483a694c30826f7d24d6ba4a7a2a684e2841e06d39ed830bc0c48ca55593857e845377b32a5c445ca971af5ed74e19f7778332ddd2ca793cff5,5.203075733
9,b5a26d5bf444edc19e83282f74d5a65a73b61db43cb789da398cc863eb8b7a16a7f96bab639eabfc4c55c4c29020cae2d937b25ecdcf5f77e2c6ee910aeefbbaa692bd8f6957cbc4d9e6c295ea405d0251463b3582d3ed80250ac1a8153ec66c046a9cbcbd6af1ab52e020160c7923c78afab995c16b63eabad5f9ccdced31b5,010001,df5c66e6b8442fe5db78d64b16029afa3ed6f6ba3a74b2b812a16b4abea1b03eec20e1a49f26b03ce52035709faeae3f45c9d894c5401ba1014d2c262f3d672d,3.827670873
10,d5865f3450bb26045f42a44683f1ade35802738c5c7e215b6091776506cd3a0c16b1b08aae1faf2a0abd382d2f5e7e91ae1b00ad6ba190aef62bfaad2deb7740c021cca54f6fccbd6a324514eef0d050705ceb94adfcb82d503249d93b7ad046f6a8057f20533a6fff2b17229643aba3aed19d47696112b76cd776a6bf767755,010001,df74f9f1f1d0028a67e225d64648915be51aa48bd787675fd8746beae3637a8545b303d75dd87e945a1eedcb685a9bd52607ffef42814469c9cb326734786b1b,2.548044914
11,9f6b9a26edc408848fbc95a967c60a411bbd23d141af147411df2de052f9e03fbdcb079325ec969b137db76b9ceb6c82b469355e0ca572ca3bd72c267ffcf23b4c76d77a71cfcca355cf7243e8bb64a2be6262db89d780264dc4899ed455564724d936fb4ac64fb15fda13a72fdc10b62c01f50466b687f3c5439a1de6040b8d,010001,c110126e39f5e4267d15f7729497676065845e169784805a71f7ba6d5ae0ef61b33622e3218da94e7a03b0b7062d8c221b5541bf7ce5e96327fd7c05cdb0f771,2.059006654
12,b8a3d4ea881e82dd3df6d8ef4d3ad239462fe9e7f6011e4c018504a420b95266d46bb55d3441f4ce70b2f13f2091ab3dbeda0295a49dcd5d19ce2c1290150fa5587fd7bf1d66e6b6011de2634f6ff5f63d919a2ee7fcbb7ae97f8100ba80608350f59e18cac13bf15267e5950d8ecb5099e00a4157976229e380840d8b1e3241,010001,ddc78cbd695583a87d3c1bb559be2553ef7deffadb7622ab556d608a9a7a84031b139d2d15f27c188528bf47d7a267651168aa9c1569ac31e583711c0184cb1f,3.149099094
13,9b59f488ef4e987c3e08461914fed5295b8c929daa195f16348749c51542bf5c9b19df9477cbadc24c81f46e4a1fdd2b72634bd1369e2b2590ec2a7d84fb8d0eb2f51b0f7f0e6c7e38ce4bc4694cd4c2b976f220684048d24b93fc78287b13793c3007e9b0e11ac09befabf8d0a6e2464aff1df0724c403aa8df28179fa7df8d,010001,c8922b425f1412b449e4b0b5fa1a3b00a88a1b790e09afe2106c7a6ea7605b99c979c2af2fc36cb8b3bfcbacb2ec6f245a7c3e3b12826e08fffe0ececc14e159,2.098885961
