id,n,e,p,duration
0,b0988263bd385bb12ff654179bc08da353ea2c283b4c919509e7b2dbbb993ba3192481737b5a8a79d400afa144bc87ae6635d2f14c0bb13fd6702e43e1702ecb9810b0b5d4f9f27bbe02ac4d4561b544d66f45254d0e0c5e32dec5c84e34fc15276ec0122dfa4aa9faf18d281cfd537df4aca7788f9ae73ee2fd81ca1a8f979bdede8bd78341a404d9219e6eb54955a44242d08a8f7bfd75c24a0793a74ccc2f86847cc3c7598300ea94cc980b3be4d98129d4a62a3fc26a6d2802fd61d28649dbbfafdc18068aba8d1e926a3b23cc351bd1ecb9a58a8f8754a987290efc9c0201549f5a751a8032a81407bde829916da81a401f527a3b46251bd1837b1db0fb,010001,c3dd17cd554e16bf5431532474dfb761a66301c9cfdd058a04f302bd0a13b3ea793efc9758277ec9b583a1d5c49ed401ea9955396f834a6938ab02984a8f9b520595143d5b6126df301cd1455df84c996ea363b7c59f21162f5b590b49693bc1afe38c3c6da3b6870ce63b5859633bac61cadb04e2c46a064201e58a8e8e2bb1,0.082000000
1,be1f9f47c7452a08e6aec64c08669a54b4f2ac329bb46df908de042bd5f587490390f1ec2cee35d225fd1c44f1ac0384c44a7c7769dadd03c07bc21be0e152d68c850bee845ffa68fc31bdc2d87120d4ad9f7e95a013acd03c0d0c593229bdefc5d531a54e9e4e9222bc9035c342628dfba52a609881853a939a8fdb53ffd1b77671fe67a3aca18ee8aba8fc89bf9a2397eec924c57be6d51505c9d9a3642b7293bdb545b169b70e68598e4d6a1f8e32912d7f1f65aedbbc9dee4a9747125576d1d0326cf1f13f0284bfd3498a658049258eae19662b00ee89c212790cdd23f64cfe1439448e861ab9d9311ae2c0eb1e504e696cf4447be735ea992c60ce6d3d,010001,f19720a0b8016f4cd93e20cf1b4fcacacfe14a27a14f13b3ea00005e17b168253be4db5a232a888d2b2597d6c28e9f49a6b6f955cabfc272331b3e1ca55c448d2550e495cf4a6e6faeb7c2e95ac50409d912aeca54fcb87d4cc871b13d93f6c9b4960133fabffe465070abe979826f1a8c080a519fd7f4a80e62c41d8aaf527d,0.082000000
2,b1e44369d9bca919dcd43cac9e664efb740f5883696c38df8bc2e90595ae5f2dcbb6033b3331e36b28a369766ed3e6600bf7159b20ca032981c8efc61e425a29bab8bdba467cb7f6f469b85e3533a5de77c6c8922b363b6762127f23c94878989ffa3ff74ec4c054fa95faf85fed0293141b507965a38fa463b536195ba10d36b89b6fbb7319ce0b38291968b405517a4e4cca5e7ef1e1a6072edb1d466a9b24987459aca9015cbb7269191798333e8aeca707720ccc141294438ba5cb4b661fcdbd0aff882adb8f104ffdb75037cd62165bd565aee7f12c1ba61e61ee2b0a090ee50c39cbd5d149525a30b257c1b4c6798eab5bdb0bfb8bf983221d5dc03ef9,010001,e49d9ac16c07ac8141c198d153a83c609c5260fcefc6bae56f9a37aca58d2a1aebd00f6ec00430359000fc30a00690328a40942829195fac4845f42c21961faa7b1c96935705f163a9f1101ce1ed3f474753266c1d72436b4d0ae6fa33772cedf5176d3e79db6434b3b31dc6e621c3764bfd142513155648158be48235c52a77,0.083000000
3,bd46a1421560e0f734eab18807eb6269cd080d7274723d1ffc8454a8cd4b5e11d5b4b85c7347fe6a8c52b0496e0f86049c34fcdf048482e7535aa6280c02d6597663771db7ecddaac83ea25e002b84464edeed0cdf148de5ed41bdf613062d1654d8c768e9fcf2a64c6f155d89423cd51a4e47860501cb3d031e8f8777308e60293ecc80acadba0170a5b6830d8585c1427b94b4a29a30281b18f7b4efc2e0cac914aaf56103d8906ecce0ff0388bf56adac23bb3347874ea49050d7a69061f348e16e2621513917d8263738965fc2ccea4ed7a5b4643bdc0e481d917bfcfa0978565f4ccadef04916da91c5c5359ce25f56464f3a9671c8b337c3ca8ffda115,010001,e0a22705063656fed9aa8a4938235dc79cac480f95135046a0a1e00a73bb970642e6dd88f7b69efc35a0b0d87baccc214204a8cf65bea9bdb40e676cdb1db2e3b10923c532057f6e1df3b9be4c089964fbda348f2580d312fa5cdeae1202b0d04385e42625e6d3288902987d6fd229ff83edfb290ff08d6a1ea5896a14075629,0.083000000
4,d604a0022e61c5216090f42ea268345341e0c379ef52c3c33edf9339094fbb386884f1d64082dc9447a5bf2457940b18b894dc47248b38e5bc8798833360acfe837b15f61dd0c5d56c9764da2e67a9106e920ed5f4004dcba461ec7deed61f84091935d89a8d990a09b5daf4ac7d174d8b87032636eea03230906db0f9940377477bc200519541d6ec49e416c5a3b2329d6c34258ef5235b20375aeff9898221827ae8caabb371f856572b873d17700369d7215a922fdab3830c0a14bc0c375d8470830604e74eb497ef62f849467546eb862eade29e5670375be464e0464e40347f5092ded7e1fb855c7dd44842fc7b5a998b9bc4dc1222ae285f910d833bf3,010001,ef8150170fcb1ce129db0a720fc4a806db714714c5810fd6a753b94b9b7ff91851f6931548a74bc6a9c4d18695192fa08b915075d1bbc2ad85246f6be09e8e922582c6f0c57c8f473e19c660c4da75d416145c5c1d8f7b39dad7033903992050b25af39f4765f81f3fde13493c867146d6bcc2e10bd497dbbbf671287087f9ef,0.084000000
5,d4cfe42717bfbf16d0aa24553b876130bd16d0dfc8617db4b5e408e8036827c65a61161c512870a1428bc8b3b0bd3dee2f909d9cdaa84f7b4f4c3c4ea0460d5d63779fdb8bd0cb89c24b4480d74f3f61da563381d58bab5212cd25974b8eb8ddd21dd1547eeb74527a5e49f3b41d490e682a48fdb62a518474d8dc0b9220d797b4f7f1d7ee3f3224681781c0b69971539b18000f13c0ff08b36d687f5b33517e32be9d00fb84cdeda0d659bc7e7e7521b8b963fffde62ba809a959b60882a7328124aec0e87f29c56bba458fd15f2d6a766918ab6222770310907b9bf31eb71d5387410692a2a96a4c33cdeb14faa65626f97dd74a9431baa2a1545558b6abd7,010001,f9229e8081f5b073d0a950d09f5372cc28e24f34bf822372fa8a49c38b311551bb380f6c556f9d35b0d32347e81c349a134f088b9f6599f46939bab0c126ca90ddf15a85d08fdb435d5e31437f370b3f0af1e9d64f4df50ca471ab0181d1225512948300720ce63665abd6a9345a0d1c896e27e19ff567eebf4d4d490bc548d3,0.083000000
6,d85fdfdc53ad93fcd7432bab9407af7082852384189b3e31ac6dda77d3f1bd7946bf77ab882f293ae19c128f9be427896ebd737900e9b352f9b03c7f8d5b5a83864ddb2a9adbee81c811a48773e1643743c2b58dcc674f7b550c56155807b283d1869d50dd8a947cba18f0db9e787ac3c6b6bffb02ccb4f684f0dd444930a4d9f9d0e6172221065266dad334477f208e3fd051b1860da6e072e23f8ce4d174f793c7025921c7d6258324b095f22459c5b66786e7d9aa0421d928082faf311863e6222322ccef57c5de00ce20fe63ba9fd3f2302d4c9e170895a11c5f04ec43999b9db4c24536130d604adae25b24ab197d1b2c3d98fbec3e5095083f296acec7,010001,e735204d5ff7fae40711007760d6ba9920b2c905a983291550d11b131d61ed8765efee6ecf7646c2b5e92e838c0178f3ed2cecac6bb16ab68fc2537c0671e0f317d2b3779eadd55967a0245838a1b9b279cfeae160e8cdd00282eef9577a31d60bd895dd30ff18d09152060ce82f45d9ff8c79d193872059f5f905ac6317cb11,0.083000000
7,c440f1bf5bda324b16fc267482ca33d2739ff3493a71c473cc6d5ee0eb130746614ec4391664b8ccdc46a9df300c69db5793935c0902bcd8e9adba5a2fe6c7ad63c3304cbcd825e96ae74c96a626fd95ffd59675025fe34a6388633495d806046caa8d86326d7929db0fa13f6a32924e8493176fa8cf10247f7c61b587f158f127cbe88cc3df8ebf96a84fb7b6de55c8ea5ee4a86c588e30970103649c6650e2dc4c743e06865ae382bec8078c5e780e9ee6f358e832b872f8db73460a9446e3d630a017a1525733bcbe21b717d918ae67fab77ca4850a164ac6a3feb9e8cdc59503c0c1a5f585d93ca2abbf545b3db5138c8ef6798e883605eaf34e150b4459,010001,d4389aa2428aff16ebeb19e2b342909488bbd6a3763152cc2927603c6f94f5161f2b9c8e1c2ed1c32380639c3870c713db7e0bc3eb3a1a720d052463c20caff8797349b633c83ba81ac43173ef8794cc18dfadd596ed415207b84c40a59bf47b2f6cf85f0fa154fe67f114924498d3f78354bc33052ff632834b2da5ad32201d,16.413000000
8,b438cb81c22b7880474b8bb0ea66784f4257917ef08134835852afde66a20607865a48e29b1bb58d17f0c60163167863ba7ede8560b2b0748c8d3e7a7eed6a0e61fc5fa0c89ec2de6fb1f1a652f37110cfffdbf14224a3fbc2df09d7d71b15b0d9c7c8c6fd4fcb50ae1d55d5dacedef02b83c047a5dbd9812d7b25a80efd5487dd2aa22e91cda890bb2a2bb7a72f1fe8f1b027c32d88f407151ef42fa11e0297c47a51b90f0c38a6bd981afb185ba41633e1dadfd9064a8733c12ddf5a2dc37a2177e86a067021cc4aa53b21817b44d2c44d94b11d7c5c1a869ff1979a255932ce762b299d17b4233ad85ade8b222482741acc7cb70b9e931815d3d27f6bcc07,010001,e2dd289afda2ef1fc3c9973ac1eb1c79b7d8f434bdbe0f5d75299ae135c73829a4155156732336ba8ed1b8eac80d1dbb028a3b9f1c2d2822690b9b1644edacbe369a1023b42e592dbc896a9048416561ad6fd0b9713e10c7f44dcb5e18edc517ebbc8536592d096688734bfa2c168e6f8b296fa18e27fc574ddc5286f210d731,10.929000000
9,ad5b8f3795214802adfbc730f3f0029092d9b403a7864f6cdd5b866a60f892d7a78d78ae08a7e62eadb45f46b5f32de49f8d6a4ebfe25457eb8aaa14ce564d3e45bef08f47a5c75f58bfbaa797a39b688964a1ac4ee31a118b02e1e95d07fa3c9e019d36b86894716682dbc280847bd88fa9c5476a91200b81eeb7de8433cdd769b59f3ea12e9dca0017723f61142604276d57dcc327918341556efe3ee7a9139dcfa89e2aa96c1fea5c924961fc0247cf3acb2c0b0ebd0e18602b5bb10bf800b6af5cfe9460ffe8c723d9b2e7060dbe5a6c5827a87889d5cbe2e2e961361324127cc42a8b76890b154e56fd58e86a372137ab46942e50be610952a9fc463a0b,010001,e5333676889cce99fd92eb084b9c31c09a7a6a1034cd9cf43a48fabe7558eeb9d1bc94f4f79e3fbda5b4f31e3a49a29c683d213909093c182627eb05b19f7ce7b99f5282defa9c58669efe9ea9b2eda2e7eb471daf612ebb04cd0df39ba677dd7d9f9c0df4522cf4dcf5aab26ce15a019131bbae58af83e108c5228acfbd5f15,18.160000000
