id,n,e,p,duration
0,df59d9165cb17bb2885793bbb27b6b3e6ae6376b442f6b9e59e6dee657e920d184c86a7bca7004fb32c2395f30c328da441f973f59902aee3ee6c9bac4edda81ce9f2c11efe2d7cbf8b518d763799e3bff2944369e698c7aece98560a5aaacb3e9606d99f3ad1f884a44c7ac94ce829bd7e4ff0baf46218f5ca73268445106f303d5c56a0c525e886b40501c9312e1b29c55d4a260ba514caad1f623873254def9d58596ae4de7821fba82eda9391d407d1d1860b1706f23a1dee4089b1a4813b590d8421fa187a5b5f83a652c3c215931437a04612b0b5dc00b0e7407f88d43b2d4b9e2cb039ca26fcaf6bff1cb59dc995cece6fed67b2d819fc0b6d6e8dc29,010001,feaf68df37f3af3d18132e2e49d5ad38ca8e8e37931c780aef7b45dbbf7b2e65219a88a585753ede0c42d75e87aba2a0353d9e4b252c4b0594ab31e9955794aeedf6e05e9edeb5ff5d10a8556dcae64bba917cc1190123dd39cc01c2877f3984e3cbc489852a6b653a054bcc1826694330b624de343e917b23246b58216b262f,0.016469165
1,c0a465b3d7e6e24520bcad0286cd9b269dfa68bf4f52852f6113ae752eae7f2a28035da4a59167bb1ed42731133e975b5fffb42cca83b20ef0b18ef7716f607a65325c17cbf4c7ba7169288bb3e340e58ac0f9ae9a26ff795d78f474acdb1d2582481f4bbde8cc2d28f74e03b2eee6f9f686f1939a334e53a5ec5273e8108d9d70cff969715c3d3e91dd2089e3129f8c47a9bcd41c36e8ae82744b402198b41fa841e927795c576389a4936f29b74e118baf29e5c7b5ea385a90ca8b29cf894a7d2aa117d99477f5960d2cd03771bc8c7052a5f145d1fc947f47fdb14e924c950de151f8470f3eeb8d969ceae1fdb2d13fe5b8a0eadab50a6fe351fa388d86e3,010001,f7a79ce5b019d73980f967b499a1ba5b0ab8b962574cb2bd3d55d0a08828ae6efe434c9604e5b35b151938acb4f8d391654e1ce674dc747577da1dae0aab9bdfeaa56f959d71285663c6bb75c6a11bf880ba551a13941099c01c99a54f049bd95aa985375caf0840a8e487502239f648ba484130f6a0b5225be6af63df26bfab,0.016780065
2,c9978311dad8942664fcf0fe8cea819440cf4f8493f64e5b3222998350caffe5b82d9a2193c7ead1c23fc23d2824e88de1ebfd75565500f6facbebd4d01a24ce6ad25f862886c8e32846ea0bb8db2daa494a84cdb2e84fbb8e43932f19cd1074a96d79ab461b8567422780daa71d92c43fb3145c594be4152c2a9396e6ef216083195a5110e5cc6d08c51ce8d03f7dbe3d288757708f0a3ca901eb4c6573898e3a8b784c682a011b209c68c866bd2d5528d274ab134f7faf116f01eb8382962384a113029d68b5b02f63a33240f44f11399145270f527df11305a02f63f877bf6f9a0720a9ff0241e3d98da7d83f89854c4bebec73d0bac8824d8e5fa18d9f7d,010001,f8170052f90eeed1b531de18163f33ff9c8cacc53a173ba8ddad41173958433d2f095b34d655213122d5158fe673c9b064f924cecea2269c0cb736ba6534126a5c3fa1312c55e09ce418644763da4b03b1b095be728a0a47b73940c482d21194082ae4bbda20ff8b6112168f9b7738bcf29846f25c194c04349bc1092f2e9bc9,0.016893016
3,bf119371753ae39be4b40e21774948800dd0e85b1924c6e18113aaa8c7fea600ee094283c500c4a2d633b64ff0e75971db191732ed084c2e44d461ec09cd18200bb266413f1b7674d3df507a50fdea2b9838b058e063ff8e9d4865c87854948299df88bc8c7aecc68363438735b8ec535d2f94e13377db146b2095a2d7f40f215ea930fbd40697bcafdb7fa392b658cd88deda246a93d77626210636d348f28db15de89d9e5793e9323d794de7f6df08e1a03645487422704335c35978982963778087b740b7799bb6227f888fbe6aaa09398afb47369c943a5f0032478aadfc08f1ea09c387ecd57e5ea9398c7ce1a561399489e10beeef14162bb947bb7dc7,010001,e8067b26fc3bc76c881189d48a354fc0701cb62923ed90d5fbac55b00eb8ce71247a32071c3e1d7a7dce21d20200fd3d30347b6f390a8f8757390a274deb7ca8aa30200ff95a5dfddcca5b2be7ea14ae9596ddda79c2b56bc04ab7710b5afe5263e70fe1163112b3cd14b1b7f03b359c0433101b7341a5b33a56ad4f8942b497,0.016888382
4,ee13e2d4272407870c44d05177478398bf1b7acd616c8d97a2d6000a8692f738b091cef7679e6eb45835b241fbc57a2df9cae525c6b23a8bfd1af229bddf89a8cb6a50fc12a820d6bac56025652c70f73a5a0d3edde267cc3032411d59038f3328b0366c734552f77279ab690f95f83c565dde2c95ecf80cd28896b212769af1a9e3bc0edab4486dda986cb43d531d0115cb61e633e682664e9e8c903d48b572874ad011d30c6c8418bc9ff4c362cac23c28b9f9d611de7c3db86a119b302272f2496b94ff2e77b782ecf2a788122b9e3c85bf73e0850c78f3c83b4c5dfc2d9e7919399fe50d831d64f73d419d45f007c300148bcc16c1f263fd3c61db1d53bb,010001,fcaf8af9a095dd192f95f5217769272dd34a1a4953004ef41b3f4de48fdeb153f8753de793dcf9c99ce44659dae6a29396a5a2b0ed16dd0f8f79ef7df3dd8e80c4198ff1ae24467660cf38abbd0f6eec96b609a0c69b7b5d279201423fafbe831c077158da1e5ab69651d2b798ba3876887a0a49277f9db50fbd6d7cd7c83209,0.017065208
5,c2920facb10a01a89226d512f53d6c68943271ebe0f385e519a94c63b3c1d62554284e8fec5249bb66b7c14f0fc648c4cdb49701dfb4134cb35516704223ede8f7e351877c454dcc1449eeee51c780d85e5fd24e0bf90db254f07f3590b181313354c304e1683325bf49572063afd4f18cb4414399b0b8d2d43269ab35c775aa6492920b4cbf6a3402f030344748b7ef3437159363eb4e35ea89cab5a8bab9d780d0e90582709c9a7820bb495726ee3bd25d8c20456d10b0b44e42a181fe19605ebefed49a84444998d8886b6d48a693ec1b2f0f11d172487fe8e9481da8571318015fe14559a33f287583d02e7094d036176fc5eef74e3c62646b16b8fb91d1,010001,e756c378222270f2a276cc56b127f3b0f2cea91914e8e3c0fe2f96f59a486493e63a4cc60c4c407fbd5f4fd94a2f2294111511c1d9cb93efc9a1ed445f9289e2efd025ca3069830d1e928bd8d67094ce1ee3cba2d518115a419f8d6abf2df76d4d73338a141789aaff8346ff442131051b56f4f5924a928f862d61f7c64ae5f3,9.319870274
6,ea9b75fdf6eac61c754f6fa864758750a77e6044a903d8310c1965381cdf6c1443c794e73849e91141fa5bab2dbcf760c0dc908e7acaa98c742ce219f0f367218be560290ce6435c3b8c161d9d0f42547b78faedee23ae91b83f431a940b5a9968077668dd634f12059da3c1585ec8464a25cb9ea7deb311272667544a8ea4e6140ea0bb3512e93d2efaa0c32e064c5dc1629b75616bc7aa3670fc031c777f236c55044696439dd93cbb5156040a42eb56bb17d2afba57309b9e46d27e9681e6e2295dbca5c57bf628eda4a5fed1b7111f861cb3a999a7d85b2f75317e371fbfe5feb0849409348c3871b328caa2950985197a0e32c383b5fd912b1d43919397,010001,f716418d18134c99c896d6c89164077ea5876feae8c553cd8768244e2f8f894c35468589b92017eb2f1c355b6cc93bdb5a2293fdae2c0fde14689f25c58df7c00bbbe5a7dedc215c656e7fb9371facabf82d02f76168b1c6fc63b0e4cdd6706120877c85856c73fac18eb0f2de5cbac3385a77f8fa7dfe7377fbd81286b6a971,2.049928749
7,a7dcc04e54a7ce3f23fa19ed0e48169684267e29916886ec9fee05d019fbae4a83bd51889ea81c5f9d6460ee1a14fd83cae06b0b570b731527eef0bb934cce28019806a82f6bd69c741e171c075fa7046f86da67e776082b6305e0293580ce778f414405129d07420ee819c6a521d07c98d7aa6b4982ec08b60fc4f4f3fa4ad77c0bdc40b8c4adf8a70c4d83f1c37f91191a53c9311458594e1b0342c18a746786312d52c9d5c0f2ab5629638386791357dcbf92734d3c1b99c3144c759ef102a73c4b429f081812c556a2c9ce3311b5ee079c12ad170265bb447683d55b9943adec3f1da71fc1ac033742b2b0e0586ca608c599e3f236975327e86851d1b729,010001,eaed54096344726ca1bd799577746cd4a69d8d1516dc7b844b18c2d5133e7a437632757ea12c6c46ff62f7d3088ff4243a0e4eff666e1a298bf7f703635dc448a631729dd8feb00922e48df87c052c5abde966c66c7a6d93459d4dc4179e5820b2f899a79a6ae2af1ecde08a51c231a885eb7d646c58c7cb1df4fe7eab5d91d1,2.698663766
8,c704a06edb977c02f719004f6775efe71c8d31c3001e7bc04443f0f828165f2f908c32cd949f0dea79ac94ca1b041003fc0cac73d308a34019edd8d80ec89e5dc9ce2f5ab40615ccac51b5c9f2a6c31b6bebacc232644c71bbbb9f3c1e4ecb45a5aaeab08393a5479a3e4ca6e9ef205d105fa3d36f5431fdfcf73a7cc2c40399fe5f93cb90f5346249413c60f44285cff5a46cdb5a295bd1c34eabd4cd7da2443a23920c9813f3920631c0f2dfd753fe7050cbc7dace518116f13e944f69c1afa6e3a5f63a07d698ea8c7e97e697b194f0d75daf69f50711102a5bb1c737e03484e699dde2c82ac8b9cd2abf2eac21c8a51dc1c2c2df96b80a522c4a41dc4eab,010001,ffbba367baccfd1931ced496237df2ad64e95c1db15d669be232f6ae4f3762e08fd45aa7fe1622db3b0fd85f6920f95451a117871993fe5cbb4af6ada734483499b8569719353bdd2fca9e09f4bde9eb725b61e5e05029d325d9cd734af447c3ff493f11c235dc733c693f1af47f6aa6a5f2d912848d901c5f169834c18c5201,4.098832019
9,de3e2018ebe2c6c122e5d228629a80c0d569afda29ef9a6a1ebb9c29145e77e6682ab2f8b606ef6a33c9a9232fc80855c2fd3f1d0a613dd62863a4f2bded9c7b29aa6fbdf7c094b342e1c5c29c88141c4ac5716c3b954fe07845bb59057c3ad3cbafc25e4c78c2596040a0c520bf75031bde2b1e18abe6993c9b70d969684acaff59e4a067e555a65a15dd97f583c6048b7635d9e1ab72c50cd1b37c0fadd098005a59621ff574b9c219ba93051f7672c5aac5133cbef235aaef06c0e48da41c01aac396b1830c801415ce2b11dac35cb4f19eb27480bdfa2fb3e0bcccffcaee002e81dd6e554eabf1a416c5be9c5fe9c7aeb80319ea377d93627c7a2b48bc2f,010001,ffec7bc94b172ab4154bc81f53a8736215ceb8f0974b55b80241a7f0d1dc60c8a384299fba6a0e8923699b3ad21628370765e4181acf21154c383c237bcace113afc7f2d8a0d71775f1879eb557ae562325687376dcf22ec3767de577cc530c44f4d0d4c2627013279b8fccbf018bd32b74faa63d9bbd40a56501312e04021d9,1.249009297
