id,n,e,p,duration
0,bfe29b515c0af7ccfaf0a808ab8f873123b33f1e44089dafb16e1e4733287cb6d5ded1e5ac3f227785d001a2756d9775dd54e0841330a73790e9d2202cb4782bd6598cbfc01b104137d6147bde52d7570ad22411b7aa9fb34149a9d0b52f50605d1ae911bd6d521f07f4e3140e58400398210189f8c8a73053ad2140afd87c44b900339405ff5a548657fa8efefbcf33a0392c62ad1cb9f4644323e68242a293f4325e895710a886fe9a893435c5eb7c74fd1d03e403a6752d69aad429d004bef4e9e37d42a70237a3a17c80a3afe0d24b4c695d82aa08a44697af6e69e11af23d6ef5597e9654188b457d06cfbe241fcbf4691ba77784f780fd20536853102d,010001,fadc666ef064f8cfeef09e86860afc3dcf82c98ee3f879b8f14ede689b67a2d6b3a921adf2bf89dd6068ef2377c61e81273dedc0aa4cc66c5934a06b1c9a527b03334519649afa9569808b7c05d7d4ac7f482668f9926202da0813a37b3a27054b8251901f4b59d897cdf4db67c511a66a0d1c499bf65ece7f25c361e09b6b85,52.043034623
1,bba753e3b57d5794c2c4f69275749ca4029181534cc7b88b953e239b2767a60c6a28d689f25a75486425cc330b8f5170f3d8a0825c66d286294945680dc978ae94029c24d5c74fbc2e3ac7ce2baea6c0f802b1fca1b7e0db1636a7b8e81f3bd2015f00fd7379fc8f38492d721d8b51824e5b01cd149857a7a21b22cd47877553af76a70af9ae8eb4c9fee522e9e5879766e5214e9b748776c4b3bfc4c2ece1c548d5ef5498874b8026d4d280315740fac624069f8ecd44d527f132e7f830efee6fff6dafdce62872d6e8a720eadbcceab07a4f9f5799c0430fcf51c926ac9d5191774166a89f1eb45433106d69bd77a086bcaf5bf1f7487d3c73c2b20feeefdb,010001,eb7815250c5179bdce6f28d27951aafbb78ad88435f9aa46181480f1ddc179e0d7974fc383d30bce2331157f3378b0e3473a8182642528215d841a75dc21bd7989d1706bee2ba10cac24634e86b11b043cc89115ada62fba526ef768ebb2cfbb7f3de314c6afed42437071de38754d4dbfe189923390014b21ef39c9ab0fe05f,20.942415757
2,b4fa908647f4980a2c3e729b69aee4a40ab4878be83f33cfe7ca0f56dfe6056c879ff6e77cba5d9e68a89b517389342b89a6caef1e07edd812b6750ae5b5e588d3c30d6cf961abdfdb45166c183a3a2290a97c8d975a9def44a1794189da1c0b105ed969b45ff329827bfd82d22d07223f7d3af0e17c0d7d07cf19377bf7cdb6dd06f212a80240226cf84344621864ae083062fbb2478fc00b053377a26ddc11a318d1eb8177faa035549ea41ce236dc85698ff1a7a294a105afbce1b67a4b37198992b40b9d2187c4640a4491981f6c51588576f58b8f9f92bb50ce4630c0362efa85331864d8ac19213cea879423c6865f654a149c4751c257573b943ae8d7,010001,dfcc7f0a91e37254f47910a650ed4c7b0a0f498f8522b1906769d3a83d2c4ce211aa260ec5cd83b156256e265631e56b7b37dc9ee291ca402dddbfb55d60739944556d756b9c8a85cced80bbc683574944290777b7d5ad1e39a258ea38ddd943cbd46a52655f4e77fadcbb651ad27a818a2b8ee307e05400afbd9d14a6b3accf,27.784531869
3,ae26d64d3065e4b4bb10e1c03df3786d9201a131aa8d595b16172fcf45c531b584b18bf56ea98841c37cbb531ee22c3d1e0f7b28e3f4662dbff2503e231a2681d98662105442a6d67fd8909cb739cae6a6ec6672b4d31401dc5daa59455b5079a567380bcd211c8e6f983476a1bd5648b29d14f8e93e6e4ce299c37e61d1976ca10c859fe1a360a6acca05be9b51a391c642d246409dc6adca0a5b1902857ab6b458398218a9311e7c2f93d52a629a4226f487d2a52b3cd0d5b2b6a58bb3595fdf6d0dbf0af0e7175137b45bb124ba689b2464a51f8b82efe9be529745db05af445d3c42a4eafa45e517158513ad99a50086d588267c1a00293ff04a9d214005,010001,c3c6a5f632a7b3350c77bb77f556b6f11d299519d20fd9c6af5902d16d2f76f546cb2719c00b59e90459704edd9ebea29c3ccc16248cc8bc506fa0650bcada7bf0105993a020dbe5ca2cbcda2fd9ac37b36c1f36c72704231dc6bf0f1c273b95fe64d9870218f6ed38f6cffe12b63219627d779ecf78c5e71d29b669a38387e7,32.435445531
4,d8e1695f441582cf4a8fbaa399aa30955032d6b49fc5fec9d0b0cdbaa591b2f4605d32ce504ed55f4c2ed731ae635c08a2c100e0a5e1046a8ddd0ec269c58e13ce015668ee071f4d117d4fea009663c46785377f7ecdfd44b7436cd93ad452c9469c19b8938b64f2bdfe064faf4d5e2616728d5a236233563741a4fda3e29f0f3ca23ca6fd89a1c1beee2aa64653c9400c1a939ce272fd66d392bf200bd60e3b44d374aed3ce9f57ff2d1441d5bcda05b9bb4b907c48e414da7978f80f17914cd5f4852dfd575cfa696ff1e94dae5c8ad6228304002ad740181bfda1168d995fa6b585acb37233f1146e2f85ec589a5b3ed1209005b4a3b1222114cb89d56b6b,010001,e1f408c28e266ad01e29580efc3835d112a2746d12abe7f9f5dad8b4e62cd47d4e023a06455be09814fbb1dc3f633e71aff40f091fc6709972ff8d388c684f6504904033aaa49d3f7258c8b6ee9b4170cbfd664307e615810d27c6e2928881d5d70d0e22b8f14e87571f1334cb7b60b37fbae6271be6e1169e17db89dcbb4f1d,19.792515416
5,e1ecae40c0dc14d10a8fea9f590b6c1fccd523718da145d23a116584b4bcebfda2c7ea5d0edd9195954f918c9aab2166dd9e34145a9df3f7613f559e3b09726dec617fbbca4b1a127b504db578cb0b91980098fea485de755b39e68b29278bc23a7897c42b875a901d272644ca9552316c42ba157b2362ba88a27e226378eb11fc3de9acd933eefa6c2277e3d89893582338418ac5cfd2cd13ad6773e0599931e5a086b230f9e896f74a8ee83c93d6a27cb74b26398aba26a5943664e270f0569e840098a06bdf125019302bcf1ae6a60403f2b5176d10d86e8afec92272a305fd2ec49db78af78ec3ede0afb746d51dbed20fc7d003222ad0048fd53f78c615,010001,e2fbbaea0c8083d8874cf50b41262334cc27a60a1d6720dcb96e2f862df65b98af906bae2374ffb1cdec791c928241497850930e66d0f086ee2d797e06f526f0d6ff6617a35217a5c887badb6b09c1cb8af72f46e23b057202c28fa73101a0d961e274c23de2708b56f44e4bdf67b11b424eb935a9eb8acb8e12621c296eec45,5.666441826
6,b9feb1b9f96e967a10902f5e7bb22d7105a4f0e993e46d64455aafb9fb5d4da5e51c36721e57c72bbef4af8b5b1043d989926a1c650c01f95dd6e4b68be3baa16794991e308900d30362d8ad22b5b974c82872b7c79e226b6b53c94ed166b32f7afe01b6d9319b7d2a0d2a39115cd2b3a7d12472fc0d591f717dd209c71b251b2d8c6c5b5fb5b45b3b7cd28dfe164d1c9e71a2038cfe327d6ea5b9d1e744874e1688abf4bc7d39dfe0c253f7329301b9a163b7ee95b039a437e5a9c5562bb85adc8be4146381f29d62f4a598d6be4397752c1567dec0b03d2aaadacc17284c0165dd6d37534a3f76882ccffb2c78c327eecd6f51255d2542e4889da276b47c39,010001,e51dde0210ae7709bfcededb69d6b8ce7d9f15517ec2c560d4424d75e3f61ebd465b748ec8cc9eaf3e5b992bf62f2c357249cb0f1a34c37037a57c0bc24cce3cd1a768acf76547ce17313dc1abaf85e471967e209c3568531b72e90fd60405575fc899a3b868e68e0f79daa93db9ced444593266df4c338ede6583b06c28ee65,13.738527548
7,bb7765ac1fcaadb404cdf3896c2ff5aa833f39af2f760487e0b91e90f6f78ba2b8a4568d4046581ac61da50283a4281955b6baa3d9a238519c0edd8b90d5154d11161a642a5ebc6862bafbdf4cd660626c9698d0e454ef29591e6ab1249b3ba6cb4b67479295bdb873716c13d9003efa1b984302c5af9d58146124c019b384042ad1191bb3f0ba1c61bc3017abeb1f4e0ae37171a0ad7b0557e62921b606d4b05fd88447e3c5e23885b5c4aef76eda1392a112c3e459a4c114e5e108303669cb2701eb06ed06efe4c89e1a1eaef7e478a3ba152c2823a9a7ef43bb220a36398799d6eba66bf7977ceb86da93356c71e9856ec5951e6872798ba514b36e4866f5,010001,d6f9eedc176b24f8ae009a788749d0f31b5b69188d2e08ff59d989002de0b582f9654230ae57ae1b2959a18a04863e62637447e352a377f2f4e256b0fb9c806266d45484e9e39d118d0be4a125df423d0f0c6fc834952592bcf474f60e7d028c9676c28d248a431fb06423970cceec58aaba655919f72001d7e2dbd863c6414b,15.871491367
8,e20d4e09f54406af6f0c93f0547fbcf9534b8eac5a5ef8d0756fa102aa55135ce0c28459ab269e73f58cdec25c7bc7d5110625a043288e8fc9143484ea584c078e06c62c70642d23fb34858ab856e8ee17e90d5ce8678749a02608d89f7f998e1c564f09133570e4ed925a462f47399f3489fdcc9bf552d53aa30f29a356d58c201fe7199152cc8148347ceead044e4949319e9918852634354ff75b226de824258f8f0329f5a4507bc607d685e8b6f52dd2ee4e699e7044245d21abac26c607d1e325b362583a50759d6b003b1b3089df39f634486d179bc8c11ccfef5ad7733acb83d9c685c3c8960c6112f5e95550084b2e1f292f50b6ca27447a1b35fd1b,010001,f4032e1b8ae65b00f10cd3d2bd4da9acecf95f2e110a167a6b22660b47d9bd751e252f4f1a120d851beefe658aceb994f3615bff1f4c50c4c7c6c04db333237c29ccf5e19b86461f80155fc6d2b114544f4508a6d7e38491d912a3776e2cc4033e99be124dbba57f5e652cc78093a47e557d62123260f8a49e92a9752808b407,15.676441773
9,c2746630b438e52d43a9832af6ff144a2edc307d9bc400fd1aba6bcb1cab7c68457fbb76698fb7502c490b4ff38bbc8c7102ac163341634867b3548775540fee37b6c5a84b332e9d1bf8bb9e63699a67f66a6bd52dc7bbfba0b97cada32de207dbf17a8d43e21b1976678fd513c268490863b84e07e66f65120c3ab1ec70313fb6edb6c5a7f54a436892cf1db704d4cd0a8c79685f4188a16e34e44560a9d453b62edcd184bdb328218194afc96643edb0efcd5b331f232c5676a12325fb2a632a98d601de839cf6574081d9625b375bace0a4d8418e6b0c502b0b0a2606dcd13f49e211ca301ca915c8eff2aa6d925d9e87f0f9c90d0a6d052f7f113992b229,010001,eccb8ad022ee8e782b6dd097620f0d01b5622d36e661e8dcdc3dfba791ba5979c32d0eea9db8bd7bbfe39f561193fb9a6a49eceb29ec3748648dc1575aa57117f4783bd8178df84cd8860b370a2bd036b7d224d7d4e3559a6c569dec77c284b2a2d01e99ffaf10cf830efd64b7337746c1d07279505fe91bf388165f0e609017,4.964512187
