id,n,e,p,duration
0,ace26865d875a0dfc67677eca797e8ba252924f5f66675f4bf50ea9e36e2d12b0dc7fa632be94daf95a55afd6751acba5f155270441bc104bdf0192a4f53955e48463a4a8d8a67d8bd1ea5a15a1186dc425c8bf0f574be9f299c039cdf9e176b2e08d09c22a3361e205cdc3733ddf6f92c980e4b050d18772aa0769faff12263,010001,d33208faeed1a70bd27405b56933e872e4931152d08e3b18d898dc51b2838ba33f56cbc211d6349fd27bb5eaf081af87b7cbc17b418cdf52375f5c118a527d0b,1.273602537
1,a5b2610d209528c72f58afad2af6fe5a6ca6ae11546f096452256c6e24048f0dfcfdb531a73f75e3e6b2f609d1adff3ba4de9f7a69220331331bb222001a6fb99057dd8bd2c7ac3e8de7fe197f7e2eab709da9b1be366d3632bc3d6a5f9b7f19745ae1a97c86e038aa1d04875d1f2e3e36af576f17e408057ffc02ae6d0bca81,010001,c6ef97b4a23fe3cbefbc97c54f55cb859fae50dbf7527611ac4d0e27dbdec5bff73a41aa1d04067c07ea114c978afb785ff1131eabd5d8fbdee99099c934cb11,0.816701482
2,ad0e0659db5bf8b00f0fedf24e22564c348635eafa2bad1880b8dcf06405620f862829c68f1b7e0359677deda7b9735236b85bb4634b7076dd464459f4dc1121ddd2af14e4516d05e4f93fd50630a8bf397037cc9793f35a44633e82161fe4cc9fee9683788290554738834e16f7d82ad5d173dba01498164709bf01efdf3d6f,010001,c9203fd35a35e79419e51382a275fa60fb93e1c5f3c1aa0362f2066d3d929184c66fff94750545f990785f04115595949c37b37768a9cefa23c73504aa2f50f9,0.751874163
3,b0c0774b62d466022a6f11e632840535c89129000bc137f7ae81415f8ffcf988f6fe9f21df35ddd1afad82f8bfc15f554f9a3c47854c299b99beb890137774db4380e88dd8f65f4180291099d95966e39e9ae1e755012599e6d19ade392d5ee6b2847cdebdb5dd83ac48a7cbea432a04b1877b7ede4b62a1388122142cbbf8d1,010001,c18f17d8bfd6d46b1888d60db9f65d2aeeaa76a74d76b52ddeefa4fcc94b956e71bfe6ff1d703a5c09ff0f3bb4df6caf4247007e30f71d6474a560d9a918b6df,0.657319544
4,ba931de1760a9ef4097b499980872f6aceb06cbeb4ab97fd9bdf999e77b47d65619e7b7326014f4a3fc230f3938aa8ee79305aac319cfc073f189c77c5f6b25f8108c75c9173e552c3a69f43a70c40c5fa55e073a58465d33679efd029a7deec5198d3c4ffdfe738be3efe1e2e810e52b169e158f462536135e9d389bf71c3fd,010001,c672d8730672510e8fb515e3caf753b29502bb56f41b3e314fca4876a10791ebcaf995d375d091608754565be52f755c56826b499e51614a1773b92daf4ce785,6.815550061
5,b134021c28131e56f0452a7d95878e069e8b91a7b73c39fe4b044d148272cbb7555e84c09793c9021d427740dcca824ce26139b58c19c6df11f833b409bdf97165c0dd44d8e7bb81bd1da8bb60fef1a0817cdb57b32023458da8ed85aa73b9444f62e64361953a888290e8eaf14f53ec90f9cc0f4413a7e444d273ded7fd7e1b,010001,dea5bbdaaaa6bd27af39195e9c38b36bab79e4bbb35760a7da800443111aff0e688e9c09407ec05d2921083178b17d4919f6de626cb41c3ac1aff24495a99f81,0.833026315
6,c2098c02c05369185cbfad5d8b5ce423eb1346ff63229c01366ca1ca8cf6178afd8a3b0d712baaa0e811a592ae264744555ea6a7572708574d0df76356a75b778a197d5c0cfca036fa651ff0aa5dd8397f8fcc0b5d1482cf9e3b7d45c7bda76725bd2a5737be9b6932044f2c455d7b47adcbac60b0131ae52f71561b6d0729e7,010001,f09d30e47cf6ac096426ad281b58e772180fe2267248a767e38a523b3d5cd0aac5c27c605637c19cc02df8ce47162108349257acf9f063674630af18b4a2aee5,0.499685244
7,93530e77490cfc7600e9922df13bc4c77c4e1660ba23ab4138ed9d6fa6bace7d1ba5abc6f8da18f7b0c7d6c187a430327c7af36853b23516ad3403b354457177b8dff0569d9a904a9added4ce158ded8045425121debdf656169aab36a6cf6799167a0ab433683b4734cc694ab22d8b8eb4b414514a0c304b13da258a6b8e99b,010001,c0def5e2ea9c7980fd6c0779f8ceb6c8d7533dfd5414db72c3d7263e08e349863a3afd8a8cff23faeb089ed5599519ec51d21668acb5a4481a6c16347539f733,0.510962287
8,be9a55fb436423ee1d4a9d5a3d80b7b0799304ca78b1a0f9c123f41b469f53fec594496c7241974f02d43f6064300231e514ab95ce0ebd9a892f54981b47e1788e250fcffd8e0f9edefab76dca3b4da83eed6f06fcf06e03fd8ab6dbc2748a1180eeefe7a6252a266e8fd565d8edcf7ca00b982fb8654aad0c80d573cd14e735,010001,c1d83d409fd742620a5b6f8235cb40f59a7b3da670cf6db16e3c8ee517c408b012980795b5edaec60222e60e5ec7c6a9c081d28501036e9f9fdac79cfe4a995f,0.705831478
9,ebfa349abf90456c626f3bd98c096b215e8a82ee394f7052674f7b5c838df463d2245086603919e581323c6919eb8e8d7f4a46a0ea6c27e79728c6bff4b590e47680842aa285e0578cf46983bcd2fcb83b04cbd00b2979401dd2a114d044ee55d429131b93127165163dd180317d68c0a916f4f7af7ca806de00ad78ce638531,010001,fa9ce5ce4007b2f5b6732c53bdf09faccc583cb7536a45f8a81f4acf2648c6a234ef77b4b2346b18785546540576101ea3b9bbbf7a5391682eb33a0bae8476b3,1.272245938
10,b19946d98fff14db8a835b15c61ae077d25cb621bb2e3ffa7c2528fa276aa719645d1cb9975aa0c2d2090107d4916db71ed4f1a1ec672be47d88185b8d3dd57a160adddf21854501e11267fe735ea4a966e316227382e3e839d0e63c98bd9e20e4c2710b1ba5bb2b38244f1df772ff88336ddeaf519455bca127cf1fe717bf19,010001,e6683ebe2d0f2f87ef244ec77e3b0f18fb68cf23ed5f99da16390f2dcac4a5b822c9f013e3c69936eaadb725408338a64af50ef32a65a391d431747ae047f785,1.086450293
11,daf13812bafb9ccf2ee45fdc7dbc0daa48e504046761402fd7d6d829555ccd0053efae75c78fe95ade04175bedbfef84e9a0cfaec7cf33ca9151b7a73784cf7212d4726a32298e392909f4fff1e341240e2f9323fa869e9eca09474a18ae0f46af4d4bfe95e2f8568c2f1a870c21a4f42137d763ae72093a174150c66daad873,010001,e9b7714c4236c569d5de06fb4daa00d40e9392ec45f0849005209ce800acdb14c7dadc3a880e7f30a96644952c64ddf128082986dfa54f8a5de2ac616de8d3a5,0.607633905
12,fae249bab4a108e1e9ce75200b846bd4103bbefec92591d738c67104b3c368cb758fb204a0ba865a635a12d0ef2abbc56620bcc93638fa7d371c69ebd80609c5e96da44c0076af575f1e47cce60062c669352b527a6025a6c4ff20de9d8fdaefa7820f361ea73646b61b8000f31e6bd3fc1e4bd1cb596b4e52a27345696a4f7d,010001,fd60f3ea4ce320d64f5208601b9296ba053087f225c59a4d4b8f1b6d0dd47bf43d759967bb5036f1e0bed43fd050fd2d261783c540ce449b833bbcc8b7d590a7,0.506357617
13,e0ea652b7313bd9b51a112a72a60d03e3ccfff9f316cc50b159592e41234b8cdb9a033efa34b1ea673a6425541d2e76235a4643d72227c61f2cdf3aed0e0fd32da99a1af0a39d1498d675c096ca7f362d415bdb64e323a786e96f83eeffb2f7ebf3df6211571c0914ec2a79194adad07c213341e6f2eee59e9d6256f9a02fc4f,010001,f875c01a632bbb05339c1f1e99f90e410bcd6af3467f4c3b553172cc8509155e436cdf17cc3c90b10f5d507b6c480eab71e95726f87ef289e178eebdcc1ca8fb,0.619540447
